grapheme_count,row_number,word_count,text_preview,src
1698,139716,310,"Quid ගේ නිධන් Quest, පාරාවෝගේ ෆෝචූන්, ක්ලියෝපැට්රා, ඩා වින්සි දියමන්ති, දියමන්ති රැජින, උණුසුම් Roll සුපර් ටයිම්ස් වැටුප්, මධ්යතන යුගයේ මුදල්, මුලමනින්ම අලුතින් Riche, පර්වතයට Shamrockers Eire, වේගාස් කුඞා ළමුන්ගේ!, බළලුන්, මත්ස්යයකු අඩංගු දිලිසෙන, නෝවාගේ නැව, කඩිමුඩියේ මෙවැනි විරු, නිහඬ චිත්රපට, වන",CulturaX
1447,123183,304,"දෙදෙනාගේ හමුවීම සිදුව තිබෙන්නේද අපූරු ආකාරටය.බර්ඩ් මාස්ටර් එය විස්තර කළේ මෙසේය…මගේ තාත්තා රජයේ වෛද්‍යවරයෙක්.නව දෙනෙකු ගෙන් යුත් පවුලේ මම දෙවැනියා.ගම්පොළ සහිරා,තළාතුඔය සෙන්ට්‍රල්,නුවරඑළිය ගාමිණී මහා විද්‍යාල වල ඉගෙන ගෙන මම උසස් පෙළ සමත් වුණා.සතුන් ඉන්න ෆිල්ම්ස් වගේම සතුන් දාලා කරන සර්කස් බලන්න පොඩි ක",CulturaX
1432,56889,269,මම ඔයාලට පොඩි කතාවක් කියන්නම්.ඇල්බට් අයින්ස්ටයින් එයාගේ සාපේක්ෂතාවාදය ඉදිරිපත් කරපු කාලේ විද්‍යා ක්ෂේත්‍රයේ ඉඳපු ගොඩාක් අය එයාගේ සාපේක්ෂතාවාදය පිලිගන්න කැමති වුණේ නැහැ.විශේෂයෙන්ම ෆ්ලිප් ලෙනාඩ් කියන විද්‍යාඥයයා.ලෙනාඩ් කියන්නේ x කිරණ න්‍යායත්මකව සොයාගත්තු පුද්ගලයා.හැබැයි x කිරණ සොයාගැනීමේ ගෞරවය නම් ඔහ,CulturaX
1323,139226,275,වංචා හා දූෂණ චෝදනා නැගී තිබෙන අවස්ථාවක තම නම පිරිසිදු කරගැනීමට කටයුතු නොකරන හෙයින්ද ව්‍යාපාරික ප්‍රජාවට වාසි සළසා දෙමින් ශ්‍රී ලංකාවේ වෛද්‍ය අධ්‍යාපනය පෞද්ගලිකරණය කිරීමට කටයුතු කරමින් සිටින හෙයින් ද පෞද්ගලික රෝහලක් නඩත්තු කිරීමට මහජන මුදල් යොදවමින් එසේ නොවන බවට ප්‍රචාරයන් ගෙන ගොස් ජනතාව නොමග යවා තිබ,CulturaX
1317,102506,263,ඉතා සරළ මට්ටමේ ථේරවාදී මූලික බෞද්ධ ඉගැන්වීම් නිවැරදිව දැන හඳුනා ගැනීමට තරම්වත් බුදු දහම පිළිබඳ ඉතා ප්‍රාථමික දැනුමක්වත් මෙකල සමාජයේ බහුතර පිරිසකට නොමැතිකමේ සමාජ හිඩසෙන් මේ වැනි කූඨ පිරිස් සිත්සේ අයුතු ප්‍රයෝජන ලබා ගනිති.එයට ප්‍රධාන හේතුව පාලි ත්‍රිපිටකය බෞද්ධ අධ්‍යයනය පිළිබඳව ආචාර්ය උපාධි මට්ටමේ පර්,CulturaX
1310,74173,268,"මෙම විදුහලේ ආදි සිසුවකුව සිට උපාධිධාරී ගුරුවරයකු ලෙද අද එම පාසලේම දරුවන්ට අකුරු කරන ආර්.ජී විජේසිංහ මහතා ""...අන්ධ ළමයි වෙනුවෙන් මුලින් ආරම්භවූ මේ පාසලේ නේවාසිකාගාරය අද අන්ධ ළමයින්ට හිමි නැහැ.මම අන්ධ ළමයෙක් ලෙස මේ පාසලට ඇතුළු වුණේ 1976 දීයි.ඒ කාලයේ නේවාසිකාගාරයේ නැවතිලා මම ඉගෙන ගත්තේ.මේ පාසලේ අවුරුදු",CulturaX
1254,58312,257,"සිංහල භාෂාව තුල ඇති ගවරමාන,ගවර එළිය,ගවර විල,ගවර කැළේ වැනි ස්ථාන නාම මෙන්ම ගවර මාන නමින් හඳුන්වන තෘණ විශේෂයක්ද පවතී.මෙවන් වචන සිංහල භාෂාවට එක්වී ඇති ආකාරය අනුව ගවරා යන සතෙකු ශ්‍රී ලංකාව තුල ජීවත්වූවා යැයි සිතිය හැකිය.මීට අමතරව රොබට් නොක්ස් විසින් රචිත එදා හෙළදිව ග්‍රන්තයේද ගවරා නමින් හඳුන්වනු ලැබූ සත",CulturaX
1175,61110,226,තත්වයට අදාල භූමිකාව වැරදියට අභ්‍යන්තරීකරණය හෙවත් වැරදි ලෙස සිදුවන සමාජානුයෝජනය සාවද්‍ය සමාජානුයෝජනය ලෙස හදුන්වයි.මෙවන් සමාජානුයොජනයන්ට උදාහරණ ලෙස බොහෝ සම්ප්‍රදායික හා පෙරදිග රටවල පවතින කාන්තාව පිළිබද ආකල්පයන් ගත හැක.බොහෝ සම්ප්‍රධායික සමාජයන්හි කාන්තාවක් සැමවිටම පුරුෂයාට යටත්ව සිටිය යුතු බවටත් පුරුෂය,CulturaX
1175,2556,244,යුරෝපා හවුල නියෝජනය කරන විදේශ ඇමතිවරුන් කණ්ඩායමක් කීව් අගනුවර ජනාධිපති මන්දිරයේ දී යුක්‍රේන් ජනාධිපති වික්තර් යනුකොවිච් සමඟ සාකච්ඡා ආරම්භ කොට ඇත.ප්‍රංශ ජර්මන් සහ පෝලන්ත විදේශ ඇමතිවරු සහභාගී වෙමින් සිටින සාකච්ඡා කලින් පැවැත්වීමට නියමිතව තිබුණ ස්ථානය අවට ගැටුම් දරුණු අතට හැරීමත් සමඟ ජනාධිපති මන්දිරය ත,CulturaX
1139,179904,223,"පෙරළිකාරයෝ (1986), නොම්මර එකයි (1987), චණ්ඩින්ගෙත් චණ්ඩියා (1988), සම්බුදු මහිම (1990), රන්දෙණිගල සිංහයා, ඇසල සඳ, හිතේ දුකක් නැති මිනිහා, හොඳ හොඳ සෙල්ලං (1990), හිත හොඳ පුතෙක් (1990), හොඳීන් නැත්නම් නරකින් (1990), ඇසළ සඳ (1990), චෙරියෝ ඩොක්ටර් (1990), අලි බබා සහ හොරු 40 (1991), ආසයි බයයි (1991), සිං",CulturaX
